School Name,Type,City,State
Sivani Public School,PUBLIC,HYDERABAD,Telangana
Sri Poojitha Public School,PUBLIC,HYDERABAD,Telangana
Sri Sai Grammar High School,PUBLIC,HYDERABAD,Telangana
Sri Sai Public School,PUBLIC,HYDERABAD,Telangana
St. George's Girls' Grammar School,PUBLIC,HYDERABAD,Telangana
St. Joseph Public School,PUBLIC,HYDERABAD,Telangana
St. Mary's Public School,PUBLIC,HYDERABAD,Telangana
St. Peter's Central Public School,PUBLIC,HYDERABAD,Telangana
St. Xavier's Upper Primary School,PUBLIC,HYDERABAD,Telangana
Subrahmanya Model High School,PUBLIC,HYDERABAD,Telangana
Sujatha Public School,PUBLIC,HYDERABAD,Telangana
Sultan-ul-uloom Public School,PUBLIC,HYDERABAD,Telangana
Swarnandhra Public School,PUBLIC,HYDERABAD,Telangana
Takshashila Public School,PUBLIC,HYDERABAD,Telangana
The Hyderabad Public School,PUBLIC,HYDERABAD,Telangana
The Secundrabad High School,PUBLIC,HYDERABAD,Telangana
Trinity Public School,PUBLIC,HYDERABAD,Telangana
United Public School,PUBLIC,HYDERABAD,Telangana
V.r.s. And V.j. Residential School,PUBLIC,HYDERABAD,Telangana
Vasavi Public School,PUBLIC,HYDERABAD,Telangana
Veda School,PUBLIC,HYDERABAD,Telangana
Vidyanjali Co Education Eng. Med. School,PUBLIC,HYDERABAD,Telangana
Vidyanjali High School,PUBLIC,HYDERABAD,Telangana
Vidyaranya High School For Boys & Girls,PUBLIC,HYDERABAD,Telangana
Vidyashram Public School,PUBLIC,HYDERABAD,Telangana
Vidyavani Public School,PUBLIC,HYDERABAD,Telangana
Vignana Jyothi Public School,PUBLIC,HYDERABAD,Telangana
Vijay High School,PUBLIC,HYDERABAD,Telangana
Vikas School,PUBLIC,HYDERABAD,Telangana
Vikasa The Concepts School,PUBLIC,HYDERABAD,Telangana
Visaka Central School,PUBLIC,HYDERABAD,Telangana
Wesley Centenary High School,PUBLIC,HYDERABAD,Telangana
Wisdom High School,PUBLIC,HYDERABAD,Telangana
Abc Montessori,PRE,HYDERABAD,Telangana
Bachpan Pre School,PRE,HYDERABAD,Telangana
Bachpan Pre School,PRE,HYDERABAD,Telangana
Bachpan Pre School,PRE,HYDERABAD,Telangana
Bachpan Pre School,PRE,HYDERABAD,Telangana
Bachpan Pre School,PRE,HYDERABAD,Telangana
Bachpan Pre School,PRE,HYDERABAD,Telangana
Bachpan Pre School,PRE,HYDERABAD,Telangana
Bachpan Pre School,PRE,HYDERABAD,Telangana
Bachpan Pre School,PRE,HYDERABAD,Telangana
Bachpan Pre School,PRE,HYDERABAD,Telangana
Bachpan Pre School,PRE,HYDERABAD,Telangana
Bachpan Pre School,PRE,HYDERABAD,Telangana
Bachpan Pre School,PRE,HYDERABAD,Telangana
Bachpan Pre School,PRE,HYDERABAD,Telangana
Bachpan Pre School,PRE,HYDERABAD,Telangana
